library,stage,supported,sample_count,mean_total_ms,std_total_ms,mean_per_repeat_ms,mean_step_repeat_count,source_profiler,speedup_vs_reference
dstpy,step1,True,2,2131.6596,63.4939,213.16596,10,cpu,0.499818
dstpy,step2,True,2,562.76185,51.77625,56.276185,10,cpu,0.546982
dstpy,step3,True,2,1632.6156,78.1904,163.26156,10,cpu,0.43229
dstpy,step4,True,2,844.18485,12.64995,84.418485,10,cpu,0.464099
dstz,step1,True,2,1390.9274,18.9014,139.09274,10,cpu,0.765993
dstz,step2,True,2,1285.496,404.1324,128.5496,10,cpu,0.239457
dstz,step3,True,2,6510.8418,417.993,651.08418,10,cpu,0.108398
dstz,step4,False,2,1.3818,0.4672,0.13818,10,cpu,
our,step1,True,2,1065.4408,127.3017,106.54408,10,cpu,1.0
our,step2,True,2,307.8206,1.1695,30.78206,10,cpu,1.0
our,step3,True,2,705.76355,102.29655,70.576355,10,cpu,1.0
our,step4,True,2,391.78515,43.74355,39.178515,10,cpu,1.0
pyds,step1,True,2,841.5595,36.2553,84.15595,10,cpu,1.266031
pyds,step2,True,2,513.2338,114.1373,51.32338,10,cpu,0.599767
pyds,step3,False,2,1.1718,0.0025,0.11718,10,cpu,
pyds,step4,False,2,0.89865,0.11895,0.089865,10,cpu,
