library,profiler,stage,supported,sample_count,mean_duration_ms,std_duration_ms
dstpy,cpu,step1,True,32,9346.085587,6547.724587
dstpy,cpu,step2,True,32,4139.268881,1517.250327
dstpy,cpu,step3,True,32,8890.854734,4387.630939
dstpy,cpu,step4,True,32,5202.257572,2156.626861
dstpy,line,step1,True,32,9921.15335,6597.207776
dstpy,line,step2,True,32,4839.730019,1508.983326
dstpy,line,step3,True,32,9726.835284,4389.144385
dstpy,line,step4,True,32,5881.858275,2152.086102
dstpy,memory,step1,True,32,9568.236619,6558.991163
dstpy,memory,step2,True,32,4394.1199,1513.013223
dstpy,memory,step3,True,32,9168.915812,4386.430065
dstpy,memory,step4,True,32,5446.573516,2153.69448
dstpy,scalene,step1,True,0,0.0,0.0
dstpy,scalene,step2,True,0,0.0,0.0
dstpy,scalene,step3,True,0,0.0,0.0
dstpy,scalene,step4,True,0,0.0,0.0
dstz,cpu,step1,True,32,7096.507759,3080.455491
dstz,cpu,step2,True,32,11204.687575,5330.735501
dstz,cpu,step3,True,32,33488.370156,16747.467878
dstz,cpu,step4,False,32,1.035503,0.166252
dstz,line,step1,True,32,7716.900259,3102.869384
dstz,line,step2,True,32,11944.564234,5343.153888
dstz,line,step3,True,32,34352.48565,16754.777948
dstz,line,step4,False,32,291.24215,3.064529
dstz,memory,step1,True,32,7330.839756,3080.76855
dstz,memory,step2,True,32,11480.928469,5332.435757
dstz,memory,step3,True,32,33787.463316,16747.454726
dstz,memory,step4,False,32,120.426241,1.930849
dstz,scalene,step1,True,0,0.0,0.0
dstz,scalene,step2,True,0,0.0,0.0
dstz,scalene,step3,True,0,0.0,0.0
dstz,scalene,step4,False,0,0.0,0.0
our,cpu,step1,True,32,4616.018547,2674.077889
our,cpu,step2,True,32,1990.701444,1003.421418
our,cpu,step3,True,32,3845.250687,1513.989061
our,cpu,step4,True,32,2348.085663,1064.972938
our,line,step1,True,32,5148.877566,2707.466091
our,line,step2,True,32,2575.469581,1029.52351
our,line,step3,True,32,4578.985534,1519.412964
our,line,step4,True,32,2959.705163,1060.687551
our,memory,step1,True,32,4821.378469,2679.9678
our,memory,step2,True,32,2210.382203,1010.705828
our,memory,step3,True,32,4094.3611,1513.097862
our,memory,step4,True,32,2576.167872,1060.844065
our,scalene,step1,True,0,0.0,0.0
our,scalene,step2,True,0,0.0,0.0
our,scalene,step3,True,0,0.0,0.0
our,scalene,step4,True,0,0.0,0.0
pyds,cpu,step1,True,32,4089.068797,2321.284788
pyds,cpu,step2,True,32,4454.580503,1469.054682
pyds,cpu,step3,False,32,1.280031,0.159542
pyds,cpu,step4,False,32,0.879328,0.079111
pyds,line,step1,True,32,4596.8502,2347.51185
pyds,line,step2,True,32,5138.51405,1476.518323
pyds,line,step3,False,32,340.7508,9.658077
pyds,line,step4,False,32,294.739744,14.68664
pyds,memory,step1,True,32,4282.130922,2324.333418
pyds,memory,step2,True,32,4703.286041,1470.248435
pyds,memory,step3,False,32,140.928647,4.357862
pyds,memory,step4,False,32,120.676513,2.614431
pyds,scalene,step1,True,0,0.0,0.0
pyds,scalene,step2,True,0,0.0,0.0
pyds,scalene,step3,False,0,0.0,0.0
pyds,scalene,step4,False,0,0.0,0.0
