library,stage,supported,sample_count,mean_peak_mb,max_peak_mb,memory_ratio_vs_reference
dstpy,step1,True,2,0.221278,0.303553,1.083858
dstpy,step2,True,2,0.159675,0.160373,1.162179
dstpy,step3,True,2,0.217435,0.22108,1.08385
dstpy,step4,True,2,0.156472,0.158367,1.109558
dstz,step1,True,2,0.243507,0.34379,1.192739
dstz,step2,True,2,0.180966,0.201132,1.317145
dstz,step3,True,2,0.219328,0.22105,1.093288
dstz,step4,False,2,0.063554,0.064413,
our,step1,True,2,0.204158,0.284011,1.0
our,step2,True,2,0.137393,0.139381,1.0
our,step3,True,2,0.200613,0.202997,1.0
our,step4,True,2,0.141022,0.142528,1.0
pyds,step1,True,2,0.200192,0.276866,0.980575
pyds,step2,True,2,0.157016,0.158792,1.14283
pyds,step3,False,2,0.071773,0.073208,
pyds,step4,False,2,0.063178,0.064028,
